"Time","ProcessId","ProcessStart","CpuSeconds","WorkingSetBytes","PeakWorkingSetBytes","ThreadCount","AvailablePhysicalBytes","SampleIsPartial"
"2026-09-07T15:06:31.3131346+08:00","43688","2026-09-07T14:56:21.0156945+08:00","8810.984375","3254267904","3416215552","165","4764606464","True"
"2026-09-07T15:07:02.1597605+08:00","43688","2026-09-07T14:56:21.0156945+08:00","9260.859375","3287482368","3416215552","165","4726239232","True"
"2026-09-07T15:07:32.9232049+08:00","43688","2026-09-07T14:56:21.0156945+08:00","9712.90625","3320528896","3416215552","161","5236805632","True"
"2026-09-07T15:08:03.6039872+08:00","43688","2026-09-07T14:56:21.0156945+08:00","10154.765625","3281084416","3416215552","161","4668420096","True"
"2026-09-07T15:08:34.2803331+08:00","43688","2026-09-07T14:56:21.0156945+08:00","10595.4375","3294748672","3416215552","162","4677840896","True"
"2026-09-07T15:09:04.9285400+08:00","43688","2026-09-07T14:56:21.0156945+08:00","11046.9375","3251703808","3416215552","162","4123332608","True"
"2026-09-07T15:09:35.5404843+08:00","43688","2026-09-07T14:56:21.0156945+08:00","11499.65625","3282350080","3416215552","161","4398026752","True"
"2026-09-07T15:10:06.1370245+08:00","43688","2026-09-07T14:56:21.0156945+08:00","11949.875","3328618496","3416215552","159","4205223936","True"
"2026-09-07T15:10:36.7779535+08:00","43688","2026-09-07T14:56:21.0156945+08:00","12402.359375","3312820224","3416215552","159","4410183680","True"
"2026-09-07T15:11:07.5536499+08:00","43688","2026-09-07T14:56:21.0156945+08:00","12851.78125","3363524608","3419942912","159","4098514944","True"
"2026-09-07T15:11:38.3591727+08:00","43688","2026-09-07T14:56:21.0156945+08:00","13264.4375","3324846080","3419942912","161","2056978432","True"
"2026-09-07T15:12:09.1659380+08:00","43688","2026-09-07T14:56:21.0156945+08:00","13708","3249483776","3419942912","161","2623004672","True"
"2026-09-07T15:12:40.0061059+08:00","43688","2026-09-07T14:56:21.0156945+08:00","14152.859375","3286286336","3419942912","161","2272063488","True"
"2026-09-07T15:13:10.8293218+08:00","43688","2026-09-07T14:56:21.0156945+08:00","14588.3125","3355500544","3422912512","159","2744946688","True"
"2026-09-07T15:13:41.5383963+08:00","43688","2026-09-07T14:56:21.0156945+08:00","15021.203125","3296239616","3422912512","159","2544898048","True"
"2026-09-07T15:14:12.2775245+08:00","43688","2026-09-07T14:56:21.0156945+08:00","15462.703125","3325136896","3422912512","159","2815029248","True"
"2026-09-07T15:14:43.0156031+08:00","43688","2026-09-07T14:56:21.0156945+08:00","15911.84375","3330977792","3422912512","159","2670825472","True"
"2026-09-07T15:15:13.7215574+08:00","43688","2026-09-07T14:56:21.0156945+08:00","16361.921875","3297894400","3422912512","159","2815684608","True"
"2026-09-07T15:15:44.4173231+08:00","43688","2026-09-07T14:56:21.0156945+08:00","16813.484375","3352403968","3424223232","159","3253518336","True"
"2026-09-07T15:16:15.1572771+08:00","43688","2026-09-07T14:56:21.0156945+08:00","17265.203125","3309547520","3424223232","159","3518943232","True"
"2026-09-07T15:16:45.8433514+08:00","43688","2026-09-07T14:56:21.0156945+08:00","17705.140625","3323469824","3424223232","159","4433252352","True"
"2026-09-07T15:17:16.4583471+08:00","43688","2026-09-07T14:56:21.0156945+08:00","18126.421875","3332792320","3424223232","159","4416999424","True"
"2026-09-07T15:17:47.2641200+08:00","43688","2026-09-07T14:56:21.0156945+08:00","18542.5","3323547648","3424223232","159","4063244288","True"
"2026-09-07T15:18:17.8999865+08:00","43688","2026-09-07T14:56:21.0156945+08:00","18955.28125","3299233792","3424223232","159","4303450112","True"
"2026-09-07T15:18:48.5264412+08:00","43688","2026-09-07T14:56:21.0156945+08:00","19374.859375","3268018176","3424223232","159","4481249280","True"
"2026-09-07T15:19:19.1344630+08:00","43688","2026-09-07T14:56:21.0156945+08:00","19765.453125","3261014016","3424223232","159","4492374016","True"
